"seqnames" "start" "end" "width" "strand" "Conc" "Conc_none" "Conc_ER" "Fold" "p.value" "FDR" "peak" "feature" "start_position" "end_position" "feature_strand" "insideFeature" "distancetoFeature" "shortestDistance" "fromOverlappingOrNearest" "symbol"
"X78.63976" "chr1" 3261517 3262017 501 "*" 4.59 3.57 5.18 -1.6 0.000196 0.0311 "78" "63976" 3069168 3438621 "+" "inside" 192349 176604 "NearestLocation" "PRDM16"
"X41703.412" "chrX" 7219114 7219614 501 "*" 5.47 4.58 6.02 -1.44 0.000197 0.0312 "41703" "412" 7219456 7354810 "+" "overlapStart" -342 158 "NearestLocation" "STS"
"X23831.7022" "chr20" 56606541 56607041 501 "*" 6.65 5.85 7.17 -1.32 0.000199 0.0314 "23831" "7022" 56629302 56639283 "+" "upstream" -22761 22261 "NearestLocation" "TFAP2C"
"X37716.23303" "chr8" 29282748 29283248 501 "*" 5.06 4.1 5.64 -1.53 0.000203 0.0318 "37716" "23303" 29067279 29263124 "-" "upstream" -19624 19624 "NearestLocation" "KIF13B"
"X30065.7368" "chr4" 114326290 114326790 501 "*" 4.41 3.39 5.01 -1.62 0.000215 0.0336 "30065" "7368" 114598455 114678224 "+" "upstream" -272165 271665 "NearestLocation" "UGT8"
"X4847.100130539" "chr10" 44244942 44245442 501 "*" 5.97 5.12 6.5 -1.38 0.000218 0.0339 "4847" "100130539" 44292569 44294649 "+" "upstream" -47627 47127 "NearestLocation" "C10orf142"
"X6485.102465860" "chr11" 23287880 23288380 501 "*" 4.29 3.2 4.9 -1.69 0.000219 0.034 "6485" "102465860" 23419105 23419190 "-" "downstream" 131310 130725 "NearestLocation" "MIR8054"
"X20083.7039" "chr2" 70616268 70616768 501 "*" 5.16 4.37 5.67 -1.31 0.000222 0.0343 "20083" "7039" 70447280 70554193 "-" "upstream" -62075 62075 "NearestLocation" "TGFA"
"X35456.100874342" "chr7" 5667444 5667944 501 "*" 6.26 5.41 6.78 -1.37 0.000224 0.0345 "35456" "100874342" 5662432 5680461 "-" "inside" 13017 5012 "NearestLocation" "RNF216-IT1"
"X14595.869" "chr16" 49010304 49010804 501 "*" 4.56 3.53 5.16 -1.62 0.000225 0.0345 "14595" "869" 49277917 49281831 "-" "downstream" 271527 267113 "NearestLocation" "CBLN1"
"X18844.2909" "chr19" 46903442 46903942 501 "*" 5.02 4.1 5.57 -1.47 0.000227 0.0348 "18844" "2909" 46918676 47005077 "+" "upstream" -15234 14734 "NearestLocation" "ARHGAP35"
"X11600.4149" "chr14" 65118271 65118771 501 "*" 8.24 7.4 8.77 -1.37 0.000231 0.0351 "11600" "4149" 65006174 65102695 "-" "upstream" -15576 15576 "NearestLocation" "MAX"
"X28716.100847054" "chr3" 185211431 185211931 501 "*" 6.71 5.72 7.3 -1.58 0.000231 0.0351 "28716" "100847054" 185253210 185253272 "-" "downstream" 41841 41279 "NearestLocation" "MIR5588"
"X40424.89846" "chr9" 92988390 92988890 501 "*" 6.5 5.75 7 -1.25 0.000233 0.0352 "40424" "89846" 92947451 93036236 "+" "inside" 40939 40939 "NearestLocation" "FGD3"
"X40427.203328" "chr9" 93053185 93053685 501 "*" 5.47 4.59 6.02 -1.43 0.000233 0.0352 "40427" "203328" 93058688 93085138 "+" "upstream" -5503 5003 "NearestLocation" "SUSD3"
"X5869.118987" "chr10" 117375475 117375975 501 "*" 4.03 2.77 4.69 -1.93 0.000235 0.0353 "5869" "118987" 117277274 117375467 "-" "upstream" -8 8 "NearestLocation" "PDZD8"
"X39469.1585" "chr8" 143018084 143018584 501 "*" 5.37 4.61 5.87 -1.26 0.000238 0.0356 "39469" "1585" 142910559 142917843 "-" "upstream" -100241 100241 "NearestLocation" "CYP11B2"
"X16376.51649" "chr17" 57834066 57834566 501 "*" 6.8 5.87 7.36 -1.49 0.000243 0.0362 "16376" "51649" 57834781 57850056 "-" "downstream" 15990 215 "NearestLocation" "MRPS23"
"X11211.3169" "chr14" 37566573 37567073 501 "*" 5.65 4.89 6.15 -1.26 0.000245 0.0364 "11211" "3169" 37589984 37595110 "-" "downstream" 28537 22911 "NearestLocation" "FOXA1"
"X15582.58485" "chr17" 7951778 7952278 501 "*" 4.51 3.32 5.16 -1.84 0.000251 0.0372 "15582" "58485" 7930345 7932123 "-" "upstream" -19655 19655 "NearestLocation" "TRAPPC1"
"X36852.57464" "chr7" 129401278 129401778 501 "*" 5.31 4.47 5.83 -1.36 0.000252 0.0372 "36852" "57464" 129434433 129488399 "+" "upstream" -33155 32655 "NearestLocation" "STRIP2"
"X7186.220070" "chr11" 70805791 70806291 501 "*" 5.18 4.18 5.76 -1.58 0.000255 0.0375 "7186" "220070" 70862790 70865115 "+" "upstream" -56999 56499 "NearestLocation" "SHANK2-AS3"
"X31104.6897" "chr5" 33550153 33550653 501 "*" 6.85 5.86 7.43 -1.57 0.000259 0.0379 "31104" "6897" 33440696 33469539 "+" "downstream" 109457 80614 "NearestLocation" "TARS"
"X25853.100505696" "chr3" 15292679 15293179 501 "*" 7.45 6.67 7.95 -1.28 0.000265 0.0386 "25853" "100505696" 15254184 15264493 "+" "downstream" 38495 28186 "NearestLocation" "SH3BP5-AS1"
"X39994.116224" "chr9" 68827649 68828149 501 "*" 5.1 4.22 5.64 -1.43 0.000266 0.0386 "39994" "116224" 68780055 68784608 "+" "downstream" 47594 43041 "NearestLocation" "FAM122A"
"X9363.121601" "chr12" 100952421 100952921 501 "*" 6.47 5.71 6.96 -1.25 0.000267 0.0386 "9363" "121601" 100717526 101128641 "+" "inside" 234895 175720 "NearestLocation" "ANO4"
"X12642.7057" "chr15" 39668426 39668926 501 "*" 5.09 4.04 5.69 -1.66 0.000267 0.0386 "12642" "7057" 39581079 39599466 "+" "downstream" 87347 68960 "NearestLocation" "THBS1"
"X7047.91683" "chr11" 67027643 67028143 501 "*" 6.35 5.49 6.89 -1.4 0.000268 0.0386 "7047" "91683" 67006778 67050863 "+" "inside" 20865 20865 "NearestLocation" "SYT12"
"X21924.102465485" "chr2" 217951327 217951827 501 "*" 6.36 5.63 6.84 -1.21 0.000269 0.0386 "21924" "102465485" 217900513 217900628 "-" "upstream" -50699 50699 "NearestLocation" "MIR6809"
"X18621.147968" "chr19" 38714314 38714814 501 "*" 5.14 4.03 5.76 -1.74 0.000277 0.0396 "18621" "147968" 38730187 38769904 "-" "downstream" 55590 15373 "NearestLocation" "CAPN12"
"X1535.3737" "chr1" 110612292 110612792 501 "*" 5.67 4.76 6.22 -1.45 0.000278 0.0397 "1535" "3737" 110593580 110631474 "-" "inside" 19182 18682 "NearestLocation" "KCNA2"
"X1832.126868" "chr1" 116123723 116124223 501 "*" 7.17 6.52 7.62 -1.11 0.000281 0.0399 "1832" "126868" 116111755 116135240 "+" "inside" 11968 11017 "NearestLocation" "MAB21L3"
"X31435.375449" "chr5" 66741512 66742012 501 "*" 5.53 4.63 6.07 -1.44 0.000282 0.04 "31435" "375449" 66596361 67169595 "+" "inside" 145151 145151 "NearestLocation" "MAST4"
"X38047.254778" "chr8" 66522209 66522709 501 "*" 6.39 5.46 6.95 -1.49 0.000284 0.0401 "38047" "254778" 66460003 66518524 "+" "downstream" 62206 3685 "NearestLocation" "C8orf46"
"X38934.7373" "chr8" 120073108 120073608 501 "*" 5.22 4.23 5.8 -1.57 0.000288 0.0405 "38934" "7373" 120059780 120372036 "+" "inside" 13328 13328 "NearestLocation" "COL14A1"
"X19430.22979" "chr2" 25086089 25086589 501 "*" 4.54 3.47 5.15 -1.67 0.000291 0.0408 "19430" "22979" 25042130 25159137 "+" "inside" 43959 43959 "NearestLocation" "EFR3B"
"X321.55160" "chr1" 17529313 17529813 501 "*" 7.64 6.8 8.17 -1.36 0.000294 0.041 "321" "55160" 17539835 17697874 "+" "upstream" -10522 10022 "NearestLocation" "ARHGEF10L"
"X9839.102466204" "chr12" 124410462 124410962 501 "*" 4.07 2.74 4.75 -2.01 0.000295 0.041 "9839" "102466204" 124337181 124337242 "-" "upstream" -73220 73220 "NearestLocation" "MIR6880"
"X36328.724023" "chr7" 93414887 93415387 501 "*" 4.75 3.83 5.31 -1.47 0.000296 0.041 "36328" "724023" 93482760 93482855 "-" "downstream" 67968 67373 "NearestLocation" "MIR653"
"X40497.102466518" "chr9" 94993059 94993559 501 "*" 6.17 5.36 6.68 -1.32 0.000299 0.0411 "40497" "102466518" 95065350 95065446 "+" "upstream" -72291 71791 "NearestLocation" "MIR6081"
"X42277.54470" "chrX" 101599512 101600012 501 "*" 2.9 0.19 3.79 -3.6 0.000299 0.0411 "42277" "54470" 101615118 101618001 "-" "downstream" 18489 15106 "NearestLocation" "ARMCX6"
"X14370.100271836" "chr16" 21511497 21511997 501 "*" 5.84 5.1 6.33 -1.22 3e-04 0.0411 "14370" "100271836" 21424763 21448567 "-" "upstream" -62930 62930 "NearestLocation" "SMG1P3"
"X33648.5603" "chr6" 36118455 36118955 501 "*" 5.6 4.73 6.14 -1.41 0.000304 0.0416 "33648" "5603" 36127809 36144524 "+" "upstream" -9354 8854 "NearestLocation" "MAPK13"
"X35615.9771" "chr7" 22389493 22389993 501 "*" 4.71 3.72 5.29 -1.57 0.000306 0.0418 "35615" "9771" 22118238 22357144 "-" "upstream" -32349 32349 "NearestLocation" "RAPGEF5"
"X25835.84077" "chr3" 14670754 14671254 501 "*" 6.71 5.75 7.29 -1.54 0.000311 0.0421 "25835" "84077" 14675099 14773034 "+" "upstream" -4345 3845 "NearestLocation" "C3orf20"
"X24111.60437" "chr20" 59988036 59988536 501 "*" 6.18 5.36 6.7 -1.34 0.000312 0.0421 "24111" "60437" 59958427 60034011 "+" "inside" 29609 29609 "NearestLocation" "CDH26"
"X7634.5962" "chr11" 110196445 110196945 501 "*" 3.79 2.22 4.52 -2.3 0.000313 0.0421 "7634" "5962" 110174880 110296722 "-" "inside" 100277 21565 "NearestLocation" "RDX"
"X30456.57600" "chr4" 158805612 158806112 501 "*" 7.16 6.36 7.67 -1.31 0.000314 0.0421 "30456" "57600" 158769138 158908049 "+" "inside" 36474 36474 "NearestLocation" "FNIP2"
"X18552.3249" "chr19" 35040802 35041302 501 "*" 6.42 5.66 6.91 -1.26 0.000314 0.0421 "18552" "3249" 35040506 35066571 "+" "inside" 296 296 "NearestLocation" "HPN"
"X31185.101929768" "chr5" 38831008 38831508 501 "*" 5.15 4.15 5.74 -1.59 0.000318 0.0424 "31185" "101929768" 38736055 38845829 "-" "inside" 14821 14321 "NearestLocation" "OSMR-AS1"
"X41674.25878" "chrX" 3376096 3376596 501 "*" 3.84 2.56 4.51 -1.95 0.000318 0.0424 "41674" "25878" 3308565 3346641 "-" "upstream" -29455 29455 "NearestLocation" "MXRA5"
"X4436.105755953" "chr10" 9038256 9038756 501 "*" 5.67 4.87 6.18 -1.31 0.000321 0.0427 "4436" "105755953" 8897989 8914596 "+" "downstream" 140267 123660 "NearestLocation" "LOC105755953"
"X6451.100616426" "chr11" 19796343 19796843 501 "*" 4.46 3.36 5.08 -1.72 0.000322 0.0427 "6451" "100616426" 19760004 19760083 "-" "upstream" -36260 36260 "NearestLocation" "MIR4694"
"X7846.2113" "chr11" 128636161 128636661 501 "*" 4.75 3.72 5.35 -1.63 0.000324 0.0428 "7846" "2113" 128458761 128587558 "-" "upstream" -48603 48603 "NearestLocation" "ETS1"
"X6460.100874014" "chr11" 19995145 19995645 501 "*" 6.63 5.82 7.15 -1.33 0.000326 0.0429 "6460" "100874014" 20043846 20049303 "-" "downstream" 54158 48201 "NearestLocation" "NAV2-AS2"
"X35542.85477" "chr7" 12595126 12595626 501 "*" 6.02 5.28 6.51 -1.23 0.000327 0.043 "35542" "85477" 12570577 12660179 "+" "inside" 24549 24549 "NearestLocation" "SCIN"
"X30232.105377448" "chr4" 138910658 138911158 501 "*" 6.26 5.47 6.77 -1.31 0.000331 0.0433 "30232" "105377448" 138819954 139012646 "-" "inside" 101988 90704 "NearestLocation" "LOC105377448"
"X21946.1593" "chr2" 218750426 218750926 501 "*" 5.83 4.96 6.37 -1.41 0.000332 0.0433 "21946" "1593" 218781749 218815293 "+" "upstream" -31323 30823 "NearestLocation" "CYP27A1"
"X32977.347733" "chr6" 3226594 3227094 501 "*" 4.24 3.15 4.86 -1.71 0.000334 0.0435 "32977" "347733" 3224261 3231730 "-" "inside" 5136 2333 "NearestLocation" "TUBB2B"
"X19277.51594" "chr2" 15142601 15143101 501 "*" 6.3 5.57 6.79 -1.22 0.000335 0.0435 "19277" "51594" 15166909 15561330 "-" "downstream" 418729 23808 "NearestLocation" "NBAS"
"X3382.100847050" "chr1" 201713421 201713921 501 "*" 4.54 3.49 5.14 -1.65 0.000338 0.0437 "3382" "100847050" 201719508 201719627 "+" "upstream" -6087 5587 "NearestLocation" "MIR5191"
"X19068.7837" "chr2" 1775391 1775891 501 "*" 5.37 4.48 5.91 -1.43 0.000341 0.0437 "19068" "7837" 1631887 1744852 "-" "upstream" -30539 30539 "NearestLocation" "PXDN"
"X9338.406926" "chr12" 97701863 97702363 501 "*" 7.87 7.14 8.36 -1.22 0.000341 0.0437 "9338" "406926" 97563812 97563911 "+" "downstream" 138051 137952 "NearestLocation" "MIR135A2"
"X36053.100507468" "chr7" 69105007 69105507 501 "*" 6.59 5.7 7.13 -1.43 0.000342 0.0437 "36053" "100507468" 69595958 69597448 "-" "downstream" 492441 490451 "NearestLocation" "LOC100507468"
"X7953.2288" "chr12" 2795786 2796286 501 "*" 4.94 4.01 5.5 -1.49 0.000344 0.0437 "7953" "2288" 2794953 2805423 "+" "inside" 833 833 "NearestLocation" "FKBP4"
"X25326.29775" "chr22" 37512015 37512878 864 "*" 5.08 4.32 5.57 -1.25 0.000344 0.0437 "25326" "29775" 37490362 37519542 "-" "inside" 7527 6664 "NearestLocation" "CARD10"
"X39659.6019" "chr9" 5269284 5269784 501 "*" 5.57 4.75 6.09 -1.34 0.000345 0.0437 "39659" "6019" 5299868 5304969 "-" "downstream" 35685 30084 "NearestLocation" "RLN2"
"X20589.84620" "chr2" 106762157 106762657 501 "*" 3.15 0.28 4.05 -3.77 0.000349 0.0442 "20589" "84620" 106801600 106887108 "-" "downstream" 124951 38943 "NearestLocation" "ST6GAL2"
"X27981.102466744" "chr3" 134348575 134349075 501 "*" 4.65 3.68 5.22 -1.55 0.000353 0.0444 "27981" "102466744" 134367804 134367862 "-" "downstream" 19287 18729 "NearestLocation" "MIR6827"
"X7578.100500823" "chr11" 101441789 101442289 501 "*" 4.41 3.2 5.05 -1.85 0.000353 0.0444 "7578" "100500823" 101519820 101519905 "-" "downstream" 78116 77531 "NearestLocation" "MIR3920"
"X18040.8943" "chr19" 2176174 2176674 501 "*" 5.12 4.26 5.66 -1.4 0.000359 0.045 "18040" "8943" 2100988 2164465 "-" "upstream" -11709 11709 "NearestLocation" "AP3D1"
"X15994.51195" "chr17" 40180685 40181185 501 "*" 6.37 5.54 6.89 -1.35 0.00036 0.045 "15994" "51195" 40177010 40195656 "+" "inside" 3675 3675 "NearestLocation" "RAPGEFL1"
"X28042.9276" "chr3" 139313888 139314388 501 "*" 4.43 3.27 5.07 -1.8 0.000363 0.0452 "28042" "9276" 139355600 139389732 "-" "downstream" 75844 41212 "NearestLocation" "COPB2"
"X20912.116372" "chr2" 132876913 132877413 501 "*" 5.65 4.76 6.2 -1.44 0.000365 0.0452 "20912" "116372" 132644853 132671579 "-" "upstream" -205334 205334 "NearestLocation" "LYPD1"
"X9048.11103" "chr12" 75711211 75711711 501 "*" 5.31 4.55 5.81 -1.26 0.000365 0.0452 "9048" "11103" 75490861 75511636 "-" "upstream" -199575 199575 "NearestLocation" "KRR1"
"X11334.79944" "chr14" 50332929 50333429 501 "*" 4.16 2.95 4.81 -1.86 0.000365 0.0452 "11334" "79944" 50237563 50312548 "-" "upstream" -20381 20381 "NearestLocation" "L2HGDH"
"X30274.23158" "chr4" 140720645 140721145 501 "*" 5.38 4.53 5.92 -1.39 0.000369 0.0455 "30274" "23158" 140620765 140756120 "-" "inside" 35475 34975 "NearestLocation" "TBC1D9"
"X35159.100874300" "chr6" 158039651 158040151 501 "*" 6.47 5.8 6.93 -1.14 0.000372 0.0456 "35159" "100874300" 158001107 158002383 "+" "downstream" 38544 37268 "NearestLocation" "SYNJ2-IT1"
"X28311.79674" "chr3" 157500157 157500657 501 "*" 4.26 3.14 4.89 -1.75 0.000372 0.0456 "28311" "79674" 157259742 157533619 "-" "inside" 33462 32962 "NearestLocation" "VEPH1"
"X3030.89884" "chr1" 180228650 180229150 501 "*" 5.3 4.37 5.86 -1.49 0.000378 0.0459 "3030" "89884" 180230286 180278982 "+" "upstream" -1636 1136 "NearestLocation" "LHX4"
"X13603.11057" "chr15" 89115524 89116024 501 "*" 6.21 5.39 6.73 -1.34 0.000379 0.0459 "13603" "11057" 89087459 89202360 "+" "inside" 28065 28065 "NearestLocation" "ABHD2"
"X34689.9729" "chr6" 127481573 127482073 501 "*" 3.65 2.11 4.38 -2.27 0.00038 0.0459 "34689" "9729" 127440343 127459391 "-" "upstream" -22182 22182 "NearestLocation" "KIAA0408"
"X6063.5791" "chr10" 127923059 127923559 501 "*" 4.99 2.44 5.86 -3.42 0.00038 0.0459 "6063" "5791" 127907061 128085855 "+" "inside" 15998 15998 "NearestLocation" "PTPRE"
"X3306.554279" "chr1" 200337058 200337558 501 "*" 5.58 4.78 6.09 -1.31 0.000381 0.0459 "3306" "554279" 200342544 200374354 "-" "downstream" 37296 4986 "NearestLocation" "LINC00862"
"X38503.10404" "chr8" 96945720 96946220 501 "*" 5.08 4.17 5.63 -1.47 0.000381 0.0459 "38503" "10404" 96645227 97149654 "+" "inside" 300493 203434 "NearestLocation" "CPQ"
"X19281.101926966" "chr2" 15766228 15766728 501 "*" 5.28 4.46 5.8 -1.34 0.000383 0.0459 "19281" "101926966" 15690782 15744339 "+" "downstream" 75446 21889 "NearestLocation" "LINC01804"
"X12447.55038" "chr14" 105032257 105032757 501 "*" 6.21 5.31 6.76 -1.45 0.000383 0.0459 "12447" "55038" 105009573 105021148 "-" "upstream" -11109 11109 "NearestLocation" "CDCA4"
"X32157.100302134" "chr5" 133249261 133249761 501 "*" 4.78 3.78 5.36 -1.59 0.00039 0.0466 "32157" "100302134" 133427596 133427706 "-" "downstream" 178445 177835 "NearestLocation" "MIR1289-2"
"X724.6513" "chr1" 42992350 42992850 501 "*" 6.5 5.67 7.03 -1.36 0.000393 0.0468 "724" "6513" 42925375 42959173 "-" "upstream" -33177 33177 "NearestLocation" "SLC2A1"
"X9567.102465519" "chr12" 112154645 112155145 501 "*" 5.49 4.66 6.01 -1.35 0.000396 0.0469 "9567" "102465519" 112163258 112163321 "-" "downstream" 8676 8113 "NearestLocation" "MIR6861"
"X34545.442247" "chr6" 112243902 112244402 501 "*" 6.82 6.15 7.28 -1.13 0.000404 0.0477 "34545" "442247" 112236806 112351296 "+" "inside" 7096 7096 "NearestLocation" "RFPL4B"
"X38981.22882" "chr8" 122846001 122846501 501 "*" 5.43 4.61 5.95 -1.34 0.000404 0.0477 "38981" "22882" 122781394 122974512 "+" "inside" 64607 64607 "NearestLocation" "ZHX2"
